execution_idx,application,case,version,classpath,package,stacktrace_path,fixed,fixed_version,buggy_frame,p_functional_mocking,functional_mocking_percent,p_reflection_on_private,reflection_start_percent,search_budget,population,p_object_pool,p_model_pool_target_init,p_model_pool_non_target_init,seed_clone,seed_mutations,test_dir
1,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
2,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
3,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
4,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
5,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
6,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
7,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
8,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
9,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
10,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
11,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
12,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
13,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
14,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
15,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
16,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
17,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
18,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
19,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
20,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
21,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
22,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
23,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
24,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
25,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
26,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
27,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
28,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
29,lang,LANG-12b,12b,becnhmark/applications/LANG-bins/LANG-12b,lang3,becnhmark/crashes/LANG/LANG-12b/LANG-12b.log,yes,12f,2,0.8,0.5,0,0,62328,100,0.6,0.2,0.2,0,3,JarFiles/GGA-tests/LANG-12b
