execution_idx,application,case,version,exception_name,frame_level,search_budget,fitness_function_value,number_of_fitness_evaluations,fitness_function_evolution,covered_goals,covered_goals_evolution
1,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,17,"[1.3333333333333333,1][0.0,17]",0/4,"[0/4,1]"
2,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,6,"[1.3333333333333333,1][0.0,6]",0/4,"[0/4,1]"
3,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,198,"[1.3333333333333333,1][0.0,198]",0/4,"[0/4,1]"
4,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,80,"[1.3333333333333333,1][0.0,80]",0/4,"[0/4,1]"
5,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,194,"[1.3333333333333333,1][0.0,194]",0/4,"[0/4,1]"
6,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,36,"[1.3333333333333333,1][0.0,36]",0/4,"[0/4,1]"
7,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,68,"[1.3333333333333333,1][0.0,68]",0/4,"[0/4,1]"
8,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,7,"[1.3333333333333333,1][0.0,7]",0/4,"[0/4,1]"
9,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,95,"[1.5,1][1.3333333333333333,5][0.0,95]",0/4,"[0/4,1]"
10,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,73,"[1.3333333333333333,1][0.0,73]",0/4,"[0/4,1]"
11,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,24,"[1.3333333333333333,1][0.0,24]",0/4,"[0/4,1]"
12,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,4,"[1.3333333333333333,1][0.0,4]",0/4,"[0/4,1]"
13,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,3,"[1.5,1][0.0,3]",0/4,"[0/4,1]"
14,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,73,"[1.3333333333333333,1][0.0,73]",0/4,"[0/4,1]"
15,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,41,"[1.3333333333333333,1][0.0,41]",0/4,"[0/4,1]"
16,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,1,"[0.0,1]",,
17,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,2,"[1.3333333333333333,1][0.0,2]",0/4,"[0/4,1]"
18,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,124,"[1.3333333333333333,1][0.0,124]",0/4,"[0/4,1]"
19,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,116,"[1.3333333333333333,1][0.0,116]",0/4,"[0/4,1]"
20,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,10,"[1.3333333333333333,1][0.0,10]",0/4,"[0/4,1]"
21,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,15,"[1.3333333333333333,1][0.0,15]",0/4,"[0/4,1]"
22,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,71,"[1.3333333333333333,1][0.0,71]",0/4,"[0/4,1]"
23,chart,CHART-13b,13b,java.lang.IllegalArgumentException,2,62328,0.0,30,"[1.3333333333333333,1][0.0,30]",0/4,"[0/4,1]"
