crash,       frame_level,   vd.a, p_value, magnitude
ES-21974,              5, 0.3095, 0.04305, medium
ES-21974,              3, 0.3402, 0.03013, small
XWIKI-13942,           4, 0.3511, 0.04836, small
MATH-95b,              3, 0.3585, 0.08165, small
XWIKI-13942,           3, 0.3750, 0.09763, small
ES-21974,              4, 0.4123, 0.25906, small
XWIKI-13942,           5, 0.4286, 0.74271, negligible
XWIKI-12667,           1, 0.4339, 0.13963, negligible
ES-21974,              2, 0.4366, 0.39921, negligible
MATH-95b,              4, 0.4594, 0.57056, negligible
CHART-13b,             2, 0.4711, 0.70610, negligible
ES-14457,              2, 0.4909, 0.92351, negligible
TIME-8b,               1, 0.4983, 0.97734, negligible
ES-22119,              1, 0.5000, 1.00000, negligible
LANG-2b,               1, 0.5000, 1.00000, negligible
LANG-5b,               1, 0.5000, 1.00000, negligible
MATH-90b,              1, 0.5000, 1.00000, negligible
MATH-95b,              1, 0.5000, 1.00000, negligible
MATH-95b,              2, 0.5000, 1.00000, negligible
XWIKI-12667,           2, 0.5000, 1.00000, negligible
XWIKI-13196,           2, 0.5000, 1.00000, negligible
XWIKI-13546,           2, 0.5000, 1.00000, negligible
XWIKI-13942,           1, 0.5000, 1.00000, negligible
XWIKI-13196,           1, 0.5011, 0.98636, negligible
ES-14457,              1, 0.5022, 0.97005, negligible
ES-14457,              3, 0.5227, 0.91965, negligible
XWIKI-13546,           1, 0.5339, 0.45242, negligible
ES-21974,              1, 0.5630, 0.38246, negligible
XWIKI-13942,           2, 0.6117, 0.10981, small
LANG-54b,              1, 0.6800, 0.01695, medium
