crash,     frame_level,   vd.a, p_value, magnitude
LANG-19b,            3, 0.1771, 0.00191, large
LANG-19b,            2, 0.2969, 0.23737, medium
LANG-19b,            1, 0.3229, 0.04552, medium
LANG-51b,            1, 0.3356, 0.02847, small
LANG-27b,            1, 0.4372, 0.40749, negligible
LANG-12b,            2, 0.4630, 0.14604, negligible
MATH-81b,            4, 0.4805, 0.92980, negligible
MATH-81b,            5, 0.4896, 0.96921, negligible
LANG-45b,            1, 0.5000, 1.00000, negligible
MATH-81b,            1, 0.5318, 0.83258, negligible
LANG-9b,             4, 0.6200, 0.11149, small
LANG-44b,            1, 0.6272, 0.09189, small
MATH-101b,           1, 0.6351, 0.07576, small
MATH-81b,            6, 0.6364, 0.30660, small
MATH-98b,            1, 0.6433, 0.05687, small
LANG-9b,             5, 0.7161, 0.00408, medium
MATH-81b,            2, 0.7778, 0.07174, large
MATH-81b,            3, 0.7778, 0.14825, large
LANG-9b,             6, 1.0000, 1.00000, large
